iter,loss,event_time,event_times
248,0.01066497545338312,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
249,0.010664975453383123,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
250,0.010664975453383164,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
251,0.01066497545338319,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
252,0.010664975453383166,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
253,0.010664975453383125,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
254,0.010664975453383106,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
255,0.010664975453383123,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
256,0.010664975453383149,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
257,0.010664975453383152,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
258,0.010664975453383137,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
259,0.010664975453383112,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
260,0.01066497545338311,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
261,0.010664975453383125,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
